hour,AvgSpeed,AvgDistance,AvgTime,AvgTip,TipPercentage,AvgPassCount,AvgFare,AvgExtra,AvgTolls,AvgTotal,trips,year
0,15.8,3.3,11.8,1.4,10.106,1.8,12.7,0.5,0.1,15.2,6913235,2013
1,16.4,3.2,11.3,1.4,10.02,1.8,12.4,0.5,0.1,14.9,5106248,2013
2,17,3.3,11,1.3,9.913,1.8,12.4,0.5,0.1,14.8,3789096,2013
3,17.7,3.5,11.1,1.3,9.552,1.8,12.9,0.5,0.1,15.3,2765491,2013
4,19.8,4.2,11.6,1.4,8.543,1.7,14.7,0.5,0.4,17.4,2024530,2013
5,22,4.8,11.5,1.8,9.069,1.6,16.3,0.4,0.7,19.7,1736015,2013
6,18.2,3.5,10.3,1.4,9.651,1.6,12.8,0,0.4,15.2,3587611,2013
7,14.3,3,11.5,1.4,10.267,1.6,11.9,0,0.3,14,6285798,2013
8,11.6,2.6,13,1.4,10.768,1.6,11.9,0,0.2,14,7785252,2013
9,11.3,2.5,13.2,1.4,10.492,1.6,11.8,0,0.2,13.9,8061504,2013
10,11.5,2.6,13,1.3,9.687,1.7,11.9,0,0.3,13.9,7820710,2013
11,11.3,2.6,13.3,1.3,9.388,1.7,12.1,0,0.3,14.1,8071554,2013
12,11.1,2.6,13.4,1.2,9.314,1.7,12.1,0,0.3,14.1,8506697,2013
13,11.3,2.8,13.8,1.3,9.201,1.7,12.6,0,0.3,14.7,8419474,2013
14,11.1,2.9,14.3,1.3,9.137,1.7,12.9,0,0.4,15.1,8683102,2013
15,11.1,3,14.6,1.3,9.028,1.7,13,0,0.4,15.2,8256154,2013
16,11.8,3,14.2,1.4,8.974,1.7,12.9,0.6,0.4,15.8,6924948,2013
17,11.5,2.8,14.1,1.4,9.264,1.7,12.5,0.7,0.3,15.4,8436322,2013
18,11.4,2.6,13.3,1.3,9.698,1.7,11.9,0.7,0.2,14.7,10382600,2013
19,12.2,2.6,12.2,1.3,9.973,1.7,11.4,0.7,0.2,14.1,10857769,2013
20,13.5,2.8,11.7,1.4,10.414,1.7,11.6,0.5,0.2,14.2,10276067,2013
21,14.3,3,11.6,1.4,10.48,1.7,11.9,0.5,0.2,14.6,10067859,2013
22,14.7,3.1,11.8,1.4,10.373,1.8,12.2,0.5,0.2,14.8,9767443,2013
23,15.2,3.2,11.9,1.5,10.33,1.8,12.6,0.5,0.2,15.2,8654280,2013
